i,j,k_index,velocity,sigma,SNR,R,Hbeta_flux,Hbeta_SNR,[OIII]5007_flux,[OIII]5007_SNR,Hbeta_index,Fe5015_index,Mgb_index
4,39,387,33.19043943141952,173.69484693495752,2.8361120839696916,0.005564610960310118,26.786739544485677,1.100925475602637,0.0,-0.0,2.065334086697009,7.231861954418568,3.737147859026347
4,40,388,-60.392185302680176,139.60781469731984,2.8267005500392743,0.005545732634054077,3.7483197465385594,0.38081087228486626,20.40462007215861,1.5369003700045767,1.2260652971679502,-1.0685934085046096,5.0892527632644065
4,41,389,-27.513276448109902,19.65514126217129,3.1495108154549953,0.005531531607971981,25.021566368878506,2.4769801084461145,13.583800804169742,0.9932103275528454,5.177092369475111,-0.17985930124492988,3.3341629092559133
4,42,390,21.142228487937526,-22.374703441529725,3.3367116969152146,0.005522043967988598,22.69472966416024,3.092637905565108,11.87693594670594,1.2108979359983678,3.8274374769951964,8.005673389253056,2.906017692301978
4,43,391,-22.978472856322718,-222.65817888156585,3.1717012474008186,0.0055172940298301556,16.13018821477687,1.952314030190782,4.457618785597195,0.39775556428645076,5.424877935133413,5.842456648337635,3.730695125458543
4,44,392,18.77686132803888,-21.871238590886627,3.423233587544503,0.00551729402983013,11.47018083989816,1.5292255618691877,13.297647572907625,1.3280338807947127,1.8180362034234665,1.4716740710137157,4.459261282356104
4,45,393,15.666275028392853,-19.969161377990492,3.567508858628939,0.005522043967988367,27.99301412621377,3.686554414703897,16.72698894620639,1.6431624446534145,6.9711064458434535,2.861211862875722,2.2753917365362297
4,46,394,13.653122416089035,16.94762909451441,3.583978718127337,0.005531531607971546,80.38036750669802,3.268700325988367,23.749413399119646,0.7060832432195254,9.238084452638322,8.921456500063542,1.8421450520604181
4,47,395,14.822079547318845,-87.93491703848365,3.7154900580236534,0.005545732634050606,0.0,-0.0,13.631179489789652,1.3085438312242073,3.5748123778758663,6.06158016267865,1.0664807799275244
4,48,396,-23.918401124601864,138.2232421661324,3.9177717313339326,0.005564610960309431,0.0,0.0,11.850571129060487,0.5356398031364259,3.7281402564713337,3.699552708284277,1.4591849799075955
4,49,397,-4.137746093446051,8.180418802829044,3.793889114216825,0.005588119183014868,0.0,0.0,8.932131748655006,0.7455664907772895,1.450521816950416,2.5510862115097477,2.717556602683149
4,50,398,-2.2798574148645807,6.574685971959896,3.7880903044502245,0.00561619916316682,11.084103889452086,1.3792610657254445,16.153486404677313,1.4906141354109572,5.184650686766313,0.686767878519031,1.540993904420159
4,51,399,22.890546279009516,-18.285128439389986,3.942406338584898,0.005648782722850726,55.12233342697417,2.2842786880672077,0.0,0.0,4.908877131194833,-0.5567068753952483,0.7052521414507935
4,52,400,9.628179046765997,-7.5629436361912985,3.9073770419357197,0.005685792436624021,30.06062673456172,3.547581534085412,9.863870146016751,0.8570598703601665,4.607876473985494,1.249167650079355,0.7098392338854767
4,53,401,-6.938027537549993,-32.00103831855194,3.7943045097976937,0.0057271424975758375,33.952916848613896,4.269414302477198,12.012771916652873,1.1334420133660312,4.662931596837618,2.0559738993905814,2.009570868865837
4,54,402,-4.299069768699428,-27.19346302821685,3.7700086833223083,0.00577273963691238,43.38915091834243,5.666142184341825,14.760385756359694,1.4246335292590218,2.775688806838451,2.756895354079589,2.2243332696890006
4,55,403,7.369062606479051,-25.720128822130672,3.65328237870826,0.005822484076091993,92.5443908054646,11.713019732225101,16.859369572576707,1.5831279637018598,4.03963770826234,0.5860675042870997,2.44199259771814
4,56,404,-11.166523241683663,-31.836872673039267,3.9353661791708947,0.005876270491555371,140.88402310874224,18.362930788702972,28.95053288711952,2.8325220944588936,4.9485174383493415,3.227924166372773,2.8285356979239773
4,57,405,26.67889533236011,-34.860023943070544,3.9688623204404703,0.005933988973395837,225.54309981365415,28.564392112917815,50.25356473044377,4.742141949066085,5.028295688058454,-0.34896546058668027,0.9166146857109626
4,58,406,12.608103641584746,-34.700328461655616,4.106898682022132,0.005995525961543347,309.2701499609368,39.1667034534814,76.40840818167311,7.212836549820903,7.055986317290823,-0.06569406229572061,2.641885214799731
4,59,407,2.413488873809513,-34.80993003531585,4.0147543255213485,0.006060765145383147,337.2008180772396,41.86375874620737,77.23282338119921,7.145263837041432,5.495995036658178,2.3947333752766355,2.209064702894766
4,60,408,-1.4591662621690484,-36.95384113691576,4.043020307437865,0.00612958831508195,361.55504273226836,46.22203144275073,85.84718197715027,8.13393725688338,7.431259562644482,-1.9448173802834448,0.9755470632363663
